Title,Description,Date Added,CVE Link,Exploit Platform,Exploit Type,Product Name
CrushFTP AS2 Authentication Bypass Vulnerability Exploit,"CrushFTP, when the DMZ proxy feature is not used, mishandles AS2 validation and consequently allows remote attackers to obtain admin access via HTTPS, as exploited in the wild in July 2025.","September 8, 2025",CVE-2025-54309,"Linux, Windows",Exploits / Remote,Impact
Microsoft Windows TCP IP IPv6 remote DoS (CVE-2024-38063),"A memory corruption vulnerability in the Windows IPv6 stack allows remote Denial of Service via maliciously crafted IPv6 Fragment Header packets, leading to kernel-level compromise. Exploitation requires no authentication or user interaction-attackers need only send specially designed packets to vulnerable hosts. Impacts all Windows versions with IPv6 enabled (default since Windows 10).","September 5, 2025",CVE-2024-38063,Windows,Denial of Service / Remote,Impact
Progress OpenEdge saveSvcConfig Remote OS Command Injection Exploit,"CVE-2025-7388 is an OS command injection vulnerability in Progress OpenEdge that allows authenticated remote attackers to execute system commands in the context of NT AUTHORITY/SYSTEM.  This module can also use CVE-2024-1403, an authentication bypass vulnerability that allow access to the adminServer classes so can chain it with CVE-2025-7388 OS command injection.","September 4, 2025",CVE-2025-7388,Windows,Exploits / OS Command Injection / Known Vulnerabilities,Impact
Microsoft Windows File Explorer Spoofing Vulnerability Exploit,Exposure of sensitive information to an unauthorized actor in Windows File Explorer allows an unauthorized attacker to perform spoofing over a network.  A user would need to be tricked into opening a folder that contains a specially crafted file.,"August 29, 2025",CVE-2025-50154,Windows,Exploits / Client Side,Impact
Microsoft Windows Local Session Manager Denial of Service Vulnerability Exploit,A denial of service vulnerability exists in the Local Session Manager (LSM) service when an authenticated attacker connects to the target system and sends specially crafted requests.,"August 21, 2025",CVE-2025-26651,Windows,Denial of Service / Remote,Impact
Microsoft Windows Disk Cleanup Tool Privilege Escalation Exploit,"The Windows Disk Cleanup tool (cleanmgr.exe) has a DLL side-loading vulnerability.  A crafted DLL could be loaded by the Disk Cleanup tool, hijacking its execution path. This could allow an attacker to gain system privileges on a vulnerable system.","August 13, 2025",CVE-2025-21420,Windows,Exploits / Local,Impact
Wing FTP Server Remote Command Execution Exploit,"Wing FTP Server version 7.4.3 and prior is prone to a remote code execution due to improper handling of null bytes in both the user and admin web interfaces. This flaw allows attackers to execute arbitrary Lua command into session files, which is executed by the server with the privileges of the FTP service.","August 6, 2025",CVE-2025-47812,"Windows, Linux",Exploits / Remote,Impact
Sudo Chroot Privilege escalation Exploit (CVE-2025-32463),This module exploits a privilege escalation vulnerability in the way sudo handles the chroot parameter.,"July 31, 2025",CVE-2025-32463,Linux,Exploits / Local,Impact
Fortinet FortiWeb get_fabric_user_by_token SQL Injection Vulnerability Exploit,An improper neutralization of special elements used in an SQL command ('SQL Injection') vulnerability in FortiWeb may allow an unauthenticated attacker to execute unauthorized SQL code or commands via crafted HTTP or HTTPs requests.,"July 21, 2025",CVE-2025-25257,Linux,Exploits / Remote Code Execution,Impact
Microsoft Internet Shortcut Remote File Execution Vulnerability Exploit,"The vulnerability relates to the use of Windows .URL files to execute a remote binary via a UNC path. When the targeted user opens or previews the .URL file (for example, from an email), the system attempts to access the specified path (for example, a WebDAV or SMB share), resulting in the execution of arbitrary code.  Depending on the email client used, the vulnerability could be exploited as zero-click by simply displaying the attachment in the preview window or by clicking on it, or it could be blocked based on the target system's policies.","July 16, 2025",CVE-2025-33053,Windows,Exploits / Client Side,Impact
Microsoft Management Console MSC Exploit (CVE-2025-26633) Update,"A vulnerability in the Microsoft Management Console (MMC) allows remote code execution via social engineering. The attack uses malicious HTML content in .msc file via an embedded ActiveX, exploiting the rendering of Windows' internal Internet Explorer.  This update removes the one-link tag","July 14, 2025",CVE-2025-26633,Windows,Exploits / Client Side,Impact
Citrix NetScaler ADC and Gateway Memory Overread Vulnerability CitrixBleed2 Exploit,"An insufficient input validation leading to memory overread in Citrix NetScaler ADC and Citrix NetScaler Gateway when the NetScaler is configured as a Gateway (VPN virtual server, ICA Proxy, CVPN, RDP Proxy) OR AAA virtual server may allow unauthenticated remote attackers to exfiltrate cookies, session IDs, or passwords from the target application.","July 8, 2025",CVE-2025-5777,FreeBSD,Exploits / Remote,Impact
Microsoft Management Console MSC Exploit (CVE-2025-26633),"A vulnerability in the Microsoft Management Console (MMC) allows remote code execution via social engineering. The attack uses malicious HTML content in .msc file via an embedded ActiveX, exploiting the rendering of Windows' internal Internet Explorer.","July 3, 2025",CVE-2025-26633,Windows,Exploits / Client Side,Impact
Roundcube Webmail unserialize PHP Object Deserialization Vulnerability Exploit,An authenticated PHP object deserialization vulnerability in Roundcube Webmail allows authenticated remote attackers to execute OS system commands.,"June 12, 2025",CVE-2025-49113,Linux,Exploits / Remote Code Execution,Impact
Vite Arbitrary File Read Exploit (CVE-2025-31125),Vite exposes content of non-allowed files using inline&import or raw import. Only apps explicitly exposing the Vite dev server to the network (using --host or server.host config option) are affected.,"June 4, 2025",CVE-2025-31125,Linux,Exploits / Remote File Disclosure,Impact
Fiberhome AN5506-04-FA Remote stack overflow,Remote Denial Of Service in Fiberhome AN5506-04-FA Router,"May 28, 2025",,Windows,Denial of Service / Remote,SCADA
SIEMENS Solid Edge ST4/ST5 WebPartHelper ActiveX Control Remote Command Execution Exploit,This module will receive HTTP requests from vulnerable clients and install agents on them.,"May 28, 2025",,,Exploits / Client Side,SCADA
Microsoft Windows library-ms NTLMv2 Information Disclosure Exploit,External control of file name or path in Windows NTLMv2 allows an unauthorized attacker to perform spoofing over a network.,"May 27, 2025",CVE-2025-24054,Windows,Exploits / Client Side,Impact
IObit Malware Fighter Arbitrary File Delete Exploit,"The IMF ForceDelete Filter Driver (IMFForceDelete.sys) present in IObit Malware Fighter v12.1.0 allows attackers to arbitrarily delete files. This module allows a local unprivileged user to delete an arbitrary file, regardless of the current user privileges.","May 21, 2025",CVE-2025-26125,Windows,Exploits / Local,Impact
SysAid on-prem GetMdmMessage XML External Entity Remote Code Execution Vulnerability Exploit,A XML External Entity vulnerability combined with an authenticated OS command injection in SysAid on-prem allows unauthenticated remote attackers to leak arbitrary files wich may lead to the execution of OS system commands.,"May 16, 2025",CVE-2024-36394,Windows,Exploits / OS Command Injection / Known Vulnerabilities,Impact
Windows Hyper-V NT Kernel Integration VSP Privilege Escalation Exploit (CVE-2025-21333),A heap-based buffer overflow exists in the vkrnlintvsp.sys driver within the VkiRootAdjustSecurityDescriptorForVmwp(). The issue occurs due to improper validation of a user-controlled Dacl->AclSize value when calculating a memory allocation size.,"May 9, 2025",CVE-2025-21333,Windows,Exploits / Local,Impact
MajorDoMo 1.2.0b Blind SQL Injection,MajorDoMo 1.2.0b Blind SQL Injection,"April 30, 2025",,,Exploits / SQL Injection,SCADA
Veeam Backup and Replication Blacklist xmlFrameworkDs NET Deserialization Vulnerability Remote Code Execution Exploit,Veeam Backup and Replication deserialization of Veeam.Backup.EsxManager.xmlFrameworkDs .NET class type allows authenticated remote attackers to execute system commands in the context of the NT AUTHORITY\SYSTEM user.,"April 30, 2025",CVE-2025-23120,Windows,Exploits / Remote Code Execution,Impact
MajorDoMo 1.2.0b Command Injection,MajorDoMo 1.2.0b Command Injection,"April 30, 2025",,,Exploits / Remote Code Execution,SCADA
MajorDoMo 1.2.0b Remote Code Execution,MajorDoMo 1.2.0b Remote Code Execution,"April 30, 2025",,"Windows, Linux",Exploits / Remote Code Execution,SCADA
CrushFTP WebInterface Auth Bypass Exploit,"This module exploits an authentication bypass vulnerability in the CrushFTP WebInterface.  Versions affected include 10.0.0 through 10.8.3 and 11.0.0 through 11.3.0.  The vulnerability allows an unauthenticated attacker to bypass login by crafting a forged CrushAuth cookie and abusing the Authorization header.    If a valid username is known (e.g., crushadmin), the attacker can:    Retrieve a full list of users via getUserList.","April 24, 2025",CVE-2025-31161,"Windows, Linux",Exploits / Remote,Impact
Apache Camel Message Header Injection Vulnerability Remote Code Execution Exploit,A message header injection vulnerability in Apache Camel allows unauthenticated remote attackers to execute OS system commands.,"April 7, 2025",CVE-2025-27636,"Windows, Linux",Exploits / OS Command Injection / Known Vulnerabilities,Impact
ABB Cylon Aspect Arbitrary File Delete,This module exploits a Arbitrary File Delete vulnerability in ABB Cylon Aspect,"March 30, 2025",,Windows,Exploits / Remote,SCADA
PerkinElmer Perten Instruments Process Plus Software Local File Inclusion,This module exploits a Local File Inclusion vulnerability in Perten Instruments Process Plus Software,"March 30, 2025",CVE-2024-6911,Windows,Exploits / Remote,SCADA
Microsoft Windows Cloud Files Mini Filter Driver Elevation of Privilege Vulnerability Exploit (CVE-2024-30085),"The Cloud Files Mini Filter Driver (cldflt.sys) present in Microsoft Windows is vulnerable to a buffer overflow, which can result in out-of-bounds memory write to paged pool memory. This module allows a local unprivileged user to execute arbitrary code with SYSTEM privileges.","March 28, 2025",CVE-2024-30085,Windows,Exploits / Local,Impact
Windows Error Reporting Privilege Escalation Exploit (CVE-2024-26169),"An elevation of privilege vulnerability has been identified in the Windows Error Reporting Service. This security flaw arises from improper privilege management, enabling local attackers with standard user permissions to escalate their privileges and gain unauthorized access to elevated system capabilities.","March 20, 2025",CVE-2024-26169,Windows,Exploits / Local,Impact
SolarWinds Web Help Desk Hardcoded Credentials Vulnerability Checker,"CVE-2024-28987 affects SolarWinds Web Help Desk 12.8.3 Hotfix 1 and all previous versions due to the presence of hardcoded credentials in the application. This vulnerability allows an unauthenticated attacker to access the REST API using Basic Authentication with predefined credentials (helpdeskIntegrationUser/dev-C4F8025E7), enabling them to read, modify, and create tickets.","March 14, 2025",CVE-2024-28987,Windows,Information gathering / Vulnerability checkers,Impact
Microsoft Windows Common Log File System Driver Elevation of Privilege Vulnerability Exploit (CVE-2024-38196),The Common Log File System Driver (clfs.sys) present in Microsoft Windows is vulnerable to a memory corruption vulnerability. This module allows a local unprivileged user to execute arbitrary code with SYSTEM privileges by creating a specially crafted  base log file.,"February 20, 2025",CVE-2024-38196,Windows,Exploits / Local,Impact
Windows Common Log File System Driver LoadContainerQ Elevation of Privilege Vulnerability Exploit,This module exploits a vulnerability in the LoadContainerQ function within clfs.sys. The root cause of this vulnerability is that LoadContainerQ uses CLFS_CONTAINER_CONTEXT.pContainer without verifying whether the FlushImage function has invalidated the General Metadata Block.,"February 11, 2025",CVE-2024-49138,Windows,Exploits / Local,Impact
Microsoft Kernel Streaming WOW Thunk Service Driver Elevation of Privilege Vulnerability Exploit (CVE-2024-38144),An elevation of privilege vulnerability exists due to the MS KS WOW Thunk kernel module allowing an integer overflow which can lead into a buffer overflow. The vulnerability could allow an attacker to run code with elevated privileges.,"February 5, 2025",CVE-2024-38144,Windows,Exploits / Local,Impact
Microsoft Windows Ancillary Function Driver UAF Privilege Excalation Exploit (CVE-2024-38193),"A critical use-after-free vulnerability in the Windows Ancillary Function Driver (afd.sys), allows attackers to escalate privileges. It stems from a race condition in the Registered I/O (RIO) extension for Windows sockets, between the functions AfdRioGetAndCacheBuffer() and AfdRioDereferenceBuffer().","January 28, 2025",CVE-2024-38193,Windows,Exploits / Local,Impact
Assorted Improvements for Exploits,Enhance identity management in exploits.    * Linked created identities in the Module Output: Added a reference to the created identity in the Module Output.  * Added Validated and Validated in properties to identities: Ensured that created identities include Validated=True and are associated with the target (Validated in) where they were verified.,"January 28, 2025","CVE-2023-26258,CVE-2015-1830,CVE-2024-24402,CVE-2024-24401","Linux, Windows",Exploits / Remote Code Execution,Impact
Ivanti Connect Secure IFT_PREAUTH_INIT clientCapabilities Buffer Overflow Remote Code Execution Exploit,Ivanti Connect Secure contains a stack-based buffer overflow that allows unauthenticated remote attackers to execute system commands in the context of the nr user.,"January 27, 2025",CVE-2025-0282,Linux,Exploits / Remote Code Execution,Impact
Microsoft Office Spoofing NTLMv2 Disclosure Vulnerability Exploit,The vulnerability exploits Office URI schemes to redirect HTTP requests to UNC paths using redirection. This enables attackers to bypass URI restrictions and capture NTLMv2 hashes.,"January 8, 2025",CVE-2024-38200,Windows,Exploits / Client Side,Impact
Cacti Cmd Realtime Remote Code Execution Exploit,"This issue allows unauthenticated users to execute arbitrary commands on the server due to a command injection vulnerability in the `cmd_realtime.php` file. The vulnerability arises when the `register_argc_argv` option of PHP is enabled, which is the default setting in many environments. The `$poller_id` used in command execution is sourced from `$_SERVER['argv']`, which can be manipulated through URLs when this option is enabled. This module exploits this vulnerability sending a special request to 'cmd_realtime.php' that sets $_SERVER['argv'] into an os command.","December 30, 2024",CVE-2024-29895,Windows,Exploits / OS Command Injection / Known Vulnerabilities,Impact
F5 BIG-IP Next Central Manager SQL Injection Vulnerability Exploit,An SQL injection vulnerability in F5 BIG-IP Next Central Manager may allow unauthenticated remote attackers to bypass authentication in the target application.,"December 18, 2024",CVE-2024-26026,Linux,Exploits / Remote,Impact
Longjing Technology Battery Energy Management System API Remote Arbitrary File Download,Longjing Technology Battery Energy Management System (BEMS) Directory Traversal,"December 15, 2024",,,Exploits / Remote File Disclosure,SCADA
D-Link NAS Command Injection Vulnerability,"The vulnerability is localized to the account_mgr.cgi script, particularly in the handling of the cgi_user_add command. The name parameter in this script does not adequately sanitize input, allowing for command execution.","December 15, 2024",CVE-2024-10914,,Exploits / Remote,IOT
Tinycontrol LAN Controller v3 Reset Factory Settings,Remote Denial Tinycontrol LAN Controller,"December 15, 2024",,Windows,Denial of Service / Remote,SCADA
Nagios XI monitoringwizard SQL Injection vulnerability Exploit,"The CVE-2024-24401 vulnerability in Nagios XI version 2024R1.01 allows a remote attacker to execute arbitrary code through an SQL injection in the monitoringwizard.php component. Successful exploitation of this vulnerability can compromise the confidentiality, integrity, and availability of the affected system.    The CVE-2024-24402 vulnerability affects Nagios XI version 2024R1.01, enabling a remote attacker to escalate privileges via a crafted script targeting the /usr/local/nagios/bin/npcd component.","December 11, 2024","CVE-2024-24402,CVE-2024-24401",Linux,Exploits / Remote Code Execution,Impact
Palo Alto Networks OS (PAN-OS) Remote Code Execution Exploit Update,This update improves the module description and messages in the Module Output panel.,"December 4, 2024","CVE-2024-0012,CVE-2024-9474",,Exploits / OS Command Injection / Known Vulnerabilities,Impact
Fuji Electric V-Server Unauthenticated Remote Denial of Service,This modules causes a Denial of Service in Fuji Electric V-Server,"November 30, 2024",CVE-2019-3946,Linux,Denial of Service / Remote,SCADA
Comtrend CT 5361T Password Disclosure,Comtrend router CT 5361T Password Disclosure,"November 30, 2024",,,Exploits / Client Side,IOT
Korenix JetPort 5601 Serial Device Server path traversal,This module exploits a directory traversal vulnerability in Korenix JetPort 5601 Serial Device Server,"November 30, 2024",CVE-2024-11303,Windows,Exploits / Remote,IOT
Hitachi Energy PROMOD IV delete arbitrary files,This module will receive HTTP requests from vulnerable clients and install agents on them.,"November 30, 2024",,,Exploits / Client Side,SCADA
