Risk,Title,URL,Tags,Access,Author,Local,Remote,CVE,CWE
Low,INITCMS v6.2.17 - Stored Cross-Site Scripting,https://cxsecurity.com/issue/WLB-2025090005,"CWE, Osman Aydoğan",Remote,Osman Aydoğan,No,Yes,N/A,CWE-79
Low,Sales Syntax CMS - Stored Cross-Site Scripting,https://cxsecurity.com/issue/WLB-2025090004,"CWE, Erdinç ODABAŞ",Remote,Erdinç ODABAŞ,No,Yes,N/A,CWE-79
High,GeoVision ASManager Windows Application 6.1.2.0 Remote Code Execution,https://cxsecurity.com/issue/WLB-2025090003,"CVE, Giorgi Dograshvili",Remote,Giorgi Dograshvili,No,Yes,CVE-2025-26264,N/A
Low,WordPress Plugin WP Publications <= 1.2 - Admin+ Stored XSS,https://cxsecurity.com/issue/WLB-2025090002,"CVE, Zeynalxan Quliyev, Rav...",Remote,"Zeynalxan Quliyev, Ravan Poladli",No,Yes,CVE-2024-11605,N/A
Medium,BarbarBaba 1.0 time-based blind sql injection,https://cxsecurity.com/issue/WLB-2025090001,Furkan Sezgin,Remote,Furkan Sezgin,No,Yes,N/A,N/A
Medium,DITRP INDIA - Sql Injection,https://cxsecurity.com/issue/WLB-2025080026,behrouz mansoori,Remote,behrouz mansoori,No,Yes,N/A,N/A
Medium,Ultimate Member WordPress Plugin 2.6.6 Privilege Escalation,https://cxsecurity.com/issue/WLB-2025080025,"CVE, CWE, Gurjot Singh",Local,Gurjot Singh,Yes,No,CVE-2023-3460,CWE-264
Medium,Ghost CMS 5.59.1 Arbitrary File Read,https://cxsecurity.com/issue/WLB-2025080024,"CVE, CWE, ibrahimsql",Remote,ibrahimsql,No,Yes,CVE-2023-40028,CWE-200
Medium,WordPress WP Reactions Box Plugin 1.0 - SQL Injection,https://cxsecurity.com/issue/WLB-2025080023,bRpsd,Remote,bRpsd,No,Yes,N/A,N/A
Medium,DOS Baby POP3 Server 1.04,https://cxsecurity.com/issue/WLB-2025080022,Érick Sousa,Remote,Érick Sousa,No,Yes,N/A,N/A
Low,WIX.com / market app Cross-site scripting (reflected),https://cxsecurity.com/issue/WLB-2025080021,nu11secur1ty,Remote,nu11secur1ty,No,Yes,N/A,N/A
Medium,EasyApp Limited - Multiple Vulnerabilities,https://cxsecurity.com/issue/WLB-2025080020,bRpsd,Remote,bRpsd,No,Yes,N/A,N/A
High,MSSQL Database Privilege Elevation From ALTER ANY LOGIN To SYSADMIN,https://cxsecurity.com/issue/WLB-2025080019,Emad Al-Mousa,Local,Emad Al-Mousa,Yes,No,N/A,N/A
Low,RiteCMS 3.0.0 Reflected Cross Site Scripting,https://cxsecurity.com/issue/WLB-2025080018,"CVE, CWE, GURJOT SINGH",Remote,GURJOT SINGH,No,Yes,CVE-2024-28623,CWE-79
Medium,Tenda AC20 16.03.08.12 Command Injection,https://cxsecurity.com/issue/WLB-2025080017,"CVE, CWE, Anonymous",Remote,Anonymous,No,Yes,CVE-2025-9090,CWE-78
Medium,Microsoft Edge Renderer Process (Mojo IPC) Sandbox Escape,https://cxsecurity.com/issue/WLB-2025080016,nu11secur1ty,Remote,,No,Yes,N/A,N/A
Medium,Upload.am 1.0.0 WordPress Plugin - Multiple Vulnerabilities,https://cxsecurity.com/issue/WLB-2025080015,bRpsd,Remote,bRpsd,No,Yes,N/A,N/A
High,WordPress Upload.am 1.0.0 Setting Modification / Information Disclosure,https://cxsecurity.com/issue/WLB-2025080014,bRpsd,Remote,bRpsd,No,Yes,N/A,N/A
High,Wazuh Server Remote Code Execution,https://cxsecurity.com/issue/WLB-2025080013,"CVE, h00die-gr3y",Remote,h00die-gr3y,No,Yes,CVE-2025-24016,N/A
High,PivotX 3.0.0 RC 3 Remote Code Execution,https://cxsecurity.com/issue/WLB-2025080012,"CVE, msutovsky-r7",Remote,msutovsky-r7,No,Yes,CVE-2025-52367,N/A
Medium,Projectworlds Online Admission System 1.0 SQL Injection,https://cxsecurity.com/issue/WLB-2025080011,Byte Reaper,Remote,Byte Reaper,No,Yes,N/A,N/A
High,JetBrains TeamCity 2023.11.4 Authentication Bypass,https://cxsecurity.com/issue/WLB-2025080010,"CVE, ibrahimsql (https://gi...",Remote,ibrahimsql (https://github.com/ibrahimsql),No,Yes,CVE-2024-27198,N/A
High,Cisco ISE 3.0 Remote Code Execution,https://cxsecurity.com/issue/WLB-2025080009,"CVE, ibrahimsql",Remote,ibrahimsql,No,Yes,CVE-2025-20124,N/A
Medium,SugarCRM 14.0.0 SSRF/Code Injection,https://cxsecurity.com/issue/WLB-2025080008,"CVE, CWE, Egidio Romano",Remote,Egidio Romano,No,Yes,CVE-2024-58258,CWE-94
High,Pandora ITSM Authenticated Command Injection,https://cxsecurity.com/issue/WLB-2025080007,h00die-gr3y,Remote,h00die-gr3y,No,Yes,N/A,N/A
High,Shenzhen Aitemi M300 Wi-Fi Repeater Unauthenticated RCE,https://cxsecurity.com/issue/WLB-2025080006,Anonymous,Remote,Anonymous,Yes,Yes,N/A,N/A
Medium,Malicious XDG Desktop File,https://cxsecurity.com/issue/WLB-2025080005,Brendan coles,Remote,Brendan coles,No,Yes,N/A,N/A
Medium,VX Guestbook 1.07 SQL Injection,https://cxsecurity.com/issue/WLB-2025080004,Trmswrr,Remote,Trmswrr,No,Yes,N/A,N/A
High,Ultimate Control Receiver 1.2 Remote Code Execution,https://cxsecurity.com/issue/WLB-2025080003,Chokri,Remote,Chokri,No,Yes,N/A,N/A
High,Microsoft Virtual Hard Disk (VHDX) 11 Remote Code Execution,https://cxsecurity.com/issue/WLB-2025080002,"CVE, nu11secur1ty",Remote,nu11secur1ty,No,Yes,CVE-2025-49683,N/A
High,Langflow 1.2.x Remote Code Execution (RCE),https://cxsecurity.com/issue/WLB-2025080001,"CVE, Raghad Abdallah Al-syo...",Remote,Raghad Abdallah Al-syouf,No,Yes,CVE-2025-3248,N/A
High,Microsoft Excel LTSC 2024 Remote Code Execution,https://cxsecurity.com/issue/WLB-2025070040,"CVE, nu11secur1ty",Remote,nu11secur1ty,No,Yes,CVE-2025-27751 | CVE-2025-47957,N/A
High,White Star Software Protop 4.4.2-2024-11-27 Local File Inclusion,https://cxsecurity.com/issue/WLB-2025070039,"CVE, CWE, Imraan Khan",Remote,Imraan Khan,No,Yes,CVE-2025-44177,"CWE-22
Medium,freeSSHd 1.0.9 Denial of Service (DoS),https://cxsecurity.com/issue/WLB-2025070038,"CVE, Fernando",Remote,Fernando,No,Yes,CVE-2024-0723,CWE-404
Medium,Sudo chroot 1.9.17 Local Privilege Escalation,https://cxsecurity.com/issue/WLB-2025070037,"CVE, CWE, Stratascale",Local,Stratascale,Yes,No,CVE-2025-32463,CWE-264
High,Adobe ColdFusion 2023.6 Remote File Read,https://cxsecurity.com/issue/WLB-2025070036,"CVE, @İbrahimsql",Remote,@İbrahimsql,No,Yes,CVE-2024-20767,CWE-284
Medium,Xlight FTP 1.1 Denial Of Service,https://cxsecurity.com/issue/WLB-2025070035,"CVE, Fernando Mengali",Remote,Fernando Mengali,No,Yes,CVE-2024-0737,CWE-404
Low,Stacks Mobile App Builder 5.2.3 Authentication Bypass via Account Takeover,https://cxsecurity.com/issue/WLB-2025070034,"CVE, stealthcopter",Remote,stealthcopter,No,Yes,CVE-2024-50477,N/A
Medium,Malicious Windows Registration Entries (.reg) File,https://cxsecurity.com/issue/WLB-2025070033,bcoles,Local,bcoles,Yes,No,N/A,N/A
High,Microsoft PowerPoint 2019 Remote Code Execution (RCE),https://cxsecurity.com/issue/WLB-2025070032,"CVE, Mohammed Idrees Banyam...",Remote,Mohammed Idrees Banyamer,No,Yes,CVE-2025-47175,N/A
Medium,VHDX Corruption Proof-of-Concept (PoC),https://cxsecurity.com/issue/WLB-2025070031,"CVE, nu11secur1ty",Local,,Yes,No,CVE-2025-49683,N/A
Medium,Office Macro Callback PoC (For Authorized Security Testing Only),https://cxsecurity.com/issue/WLB-2025070030,"CVE, nu11secur1ty",Remote,,No,Yes,CVE-2025-49702,N/A
High,Remote Mouse 3.303 Remote Code Execution,https://cxsecurity.com/issue/WLB-2025070029,Chokri Hammedi,Remote,Chokri Hammedi,No,Yes,N/A,N/A
Low,Intelbras RX 1500 2.2.9 / RX 3000 1.0.11 IDOR / XSS,https://cxsecurity.com/issue/WLB-2025070028,Gabriel,Remote,Gabriel,No,Yes,N/A,N/A
Low,LiveHelperChat <=4.61 - Stored Cross Site Scripting (XSS),https://cxsecurity.com/issue/WLB-2025070027,"CVE, Manojkumar J",Remote,Manojkumar J,No,Yes,CVE-2025-51396,N/A
High,Wifi Mouse version 1.9.0.8 - Remote Code Execution,https://cxsecurity.com/issue/WLB-2025070026,Chokri Hammedi,Remote,Chokri Hammedi,No,Yes,N/A,N/A
Low,Microsoft Edge XSS Filter Bypass PoC,https://cxsecurity.com/issue/WLB-2025070025,nu11secur1ty,Local,,Yes,No,N/A,N/A
Medium,BarbarBaba-1.0 Copyright 2025-Multiple-SQLi,https://cxsecurity.com/issue/WLB-2025070024,nu11secur1ty,Remote,,No,Yes,N/A,N/A
High,NodeJS 24.x Path Traversal,https://cxsecurity.com/issue/WLB-2025070023,"CVE, CWE, Abdualhadi khalifa",Remote,Abdualhadi khalifa,No,Yes,CVE-2025-27210,CWE-22
High,Sudo 1.9.17 Host Option Elevation of Privilege,https://cxsecurity.com/issue/WLB-2025070022,"CVE, Rich Mirch",Local,Rich Mirch,Yes,No,CVE-2025-32462,N/A
Medium,PX4 Military UAV Autopilot 1.12.3 Denial of Service (DoS),https://cxsecurity.com/issue/WLB-2025070021,"CVE, Mohammed Idrees",Remote,Mohammed Idrees,No,Yes,CVE-2025-5640,N/A
High,Roundcube 1.6.10 Remote Code Execution (RCE),https://cxsecurity.com/issue/WLB-2025070020,Maksim,Remote,Maksim,No,Yes,N/A,N/A
High,Remote Mouse 4.601 Unauthenticated Remote System Control,https://cxsecurity.com/issue/WLB-2025070019,Chokri Hammedi,Remote,Chokri Hammedi,No,Yes,N/A,N/A
Low,jsbin-web app - XSS Reflected,https://cxsecurity.com/issue/WLB-2025070018,nu11secur1ty,Remote,,No,Yes,N/A,N/A
High,ISPConfig language_edit.php PHP Code Injection,https://cxsecurity.com/issue/WLB-2025070017,EgiX,Remote,EgiX,No,Yes,N/A,N/A
Medium,Events Manager <= 7.0.3 - Unauthenticated SQL Injection via orderby Parameter,https://cxsecurity.com/issue/WLB-2025070016,RandomRobbieBF,Remote,RandomRobbieBF,No,Yes,N/A,N/A
Medium,File Provider <= 1.2.3 - Unauthenticated SQL Injection,https://cxsecurity.com/issue/WLB-2025070015,"CVE, RandomRobbieBF",Remote,RandomRobbieBF,No,Yes,CVE-2025-4578,N/A
High,SAP NetWeaver S/4HANA ABAP Code Execution,https://cxsecurity.com/issue/WLB-2025070014,"CWE, Raschin Tavakoli",Remote,Raschin Tavakoli,Yes,Yes,N/A,CWE-749
Low,C-Based Automated Login Analyzer with CSRF Token Extraction for SSO bmi.ir Systems,https://cxsecurity.com/issue/WLB-2025070013,E1.Coders,Remote,,Yes,Yes,N/A,N/A
Low,Discourse 3.2.x Anonymous Cache Poisoning,https://cxsecurity.com/issue/WLB-2025070012,"CVE, ibrahimsql",Remote,ibrahimsql,No,Yes,CVE-2024-47773,CWE-610
High,Microsoft Outlook Remote Code Execution Vulnerability - ACE,https://cxsecurity.com/issue/WLB-2025070011,"CVE, nu11secur1ty",Remote,,No,Yes,CVE-2025-47176,N/A
Medium,Oracle 23ai Privilege Escalation From GRANT ANY ROLE To DBA Role,https://cxsecurity.com/issue/WLB-2025070010,Emad Al-Mousa,Local,Emad Al-Mousa,Yes,No,N/A,N/A
Medium,MikroTik RouterOS < v7.0 - Reflected XSS in UserManager,https://cxsecurity.com/issue/WLB-2025070009,ahmed Mutaher,Remote,,No,Yes,N/A,N/A
High,gogs 0.13.0 - Remote Code Execution,https://cxsecurity.com/issue/WLB-2025070008,"CVE, Ardayfio",Remote,Ardayfio,No,Yes,CVE-2024-39930,N/A
Medium,Vite fs LFI (Local File Inclusion) Vulnerability,https://cxsecurity.com/issue/WLB-2025070007,"CVE, nu11secur1ty",Remote,,No,Yes,CVE-2025-30208,N/A
High,VBA Bypass Windows Defender Exploit PoC,https://cxsecurity.com/issue/WLB-2025070006,"CVE, nu11secur1ty",Local,,Yes,No,CVE-2025-47170,N/A
High,Moodle 4.4.0 Authenticated Remote Code Execution,https://cxsecurity.com/issue/WLB-2025070005,"CVE, Likhith Appalaneni",Remote,Likhith Appalaneni,No,Yes,CVE-2024-43425,N/A
High,WebDAV Windows 10 Remote Code Execution (RCE),https://cxsecurity.com/issue/WLB-2025070004,"CVE, Dev Bui Hieu",Remote,Dev Bui Hieu,No,Yes,CVE-2025-33053,N/A
High,Java-springboot-codebase 1.1 Arbitrary File Read,https://cxsecurity.com/issue/WLB-2025070003,"CVE, CWE, d3sca",Remote,d3sca,No,Yes,CVE-2025-46822,CWE-200
High,Social Warfare WordPress Plugin 3.5.2 Remote Code Execution (RCE),https://cxsecurity.com/issue/WLB-2025070002,"CVE, Huseyin Mardini",Remote,Huseyin Mardini,No,Yes,CVE-2019-9978,CWE-79
High,PHP CGI Module 8.3.4 Remote Code Execution,https://cxsecurity.com/issue/WLB-2025070001,"CVE, ibrahimsql",Remote,ibrahimsql,No,Yes,CVE-2024-4577,N/A
Medium,Grandstream GSD3710 1.0.11.13 Stack Overflow,https://cxsecurity.com/issue/WLB-2025060031,"CVE, CWE, Pepelux",Remote,Pepelux,No,Yes,CVE-2022-2025,CWE-119
High,Sitecore 10.4 Remote Code Execution (RCE),https://cxsecurity.com/issue/WLB-2025060030,"CVE, Yesith Alvarez",Remote,Yesith Alvarez,No,Yes,CVE-2025-27218,N/A
