captcha,javascript_render,locations,meta,name,parser,profile
False,False,"[{'fqdn': 'marketojbwagqnwx.onion', 'title': None, 'version': 2, 'slug': 'http://marketojbwagqnwx.onion', 'available': False, 'updated': '2021-09-08 00:01:21.604365', 'lastscrape': '2021-05-01 00:00:00.000000', 'enabled': False}, {'fqdn': 'g5sbltooh2okkcb2.onion', 'title': None, 'version': 2, 'slug': 'http://g5sbltooh2okkcb2.onion', 'available': False, 'updated': None, 'lastscrape': '2021-05-01 00:00:00.000000', 'enabled': False}, {'fqdn': 'fvki3hj7uxuirxpeop6chgqoczanmebutznt2mkzy6waov6w456vjuid.onion', 'title': '404 Not Found', 'version': 3, 'slug': 'http://fvki3hj7uxuirxpeop6chgqoczanmebutznt2mkzy6waov6w456vjuid.onion', 'available': False, 'updated': '2021-10-04 08:05:02.379137', 'lastscrape': '2021-10-04 08:05:02.379121', 'enabled': False}, {'fqdn': 'jvdamsif53dqjycuozlaye2s47p7xij4x6hzwzwhzrqmv36gkyzohhqd.onion', 'title': '502 Bad Gateway', 'version': 3, 'slug': 'http://jvdamsif53dqjycuozlaye2s47p7xij4x6hzwzwhzrqmv36gkyzohhqd.onion', 'available': False, 'updated': '2022-03-14 05:12:43.980524', 'lastscrape': '2022-03-14 05:12:43.980505', 'enabled': False}]","marketplace - not a ransomware group, previous clearnet marketo.cloud",marketo,False,"['https://www.digitalshadows.com/blog-and-research/marketo-a-return-to-simple-extortion', 'https://securityaffairs.co/wordpress/121617/cyber-crime/puma-available-marketo.html', 'https://t.me/marketo_leaks', 'https://t.me/marketocloud']"
False,False,"[{'fqdn': 'xqkz2rmrqkeqf6sjbrb47jfwnqxcd4o2zvaxxzrpbh2piknms37rw2ad.onion', 'title': 'end of game', 'version': 3, 'slug': 'http://xqkz2rmrqkeqf6sjbrb47jfwnqxcd4o2zvaxxzrpbh2piknms37rw2ad.onion/', 'available': False, 'updated': '2021-09-08 00:03:21.496917', 'lastscrape': '2021-08-18 00:02:29.699387', 'enabled': False}]",no longer in operation - rebrand,synack,True,['https://www.zdnet.com/article/synack-ransomware-group-releases-decryption-keys-as-they-rebrand-to-el-cometa']
False,False,"[{'fqdn': 'x2miyuiwpib2imjr5ykyjngdu7v6vprkkhjltrk4qafymtawey4qzwid.onion', 'title': 'News', 'version': 3, 'slug': 'http://x2miyuiwpib2imjr5ykyjngdu7v6vprkkhjltrk4qafymtawey4qzwid.onion/', 'available': False, 'updated': '2022-12-11 02:30:58.172815', 'lastscrape': '2022-12-11 02:30:58.172802', 'enabled': False}, {'fqdn': 'nbzzb6sa6xuura2z.onion', 'title': None, 'version': 2, 'slug': 'http://nbzzb6sa6xuura2z.onion', 'available': False, 'updated': '2021-09-08 00:03:26.377871', 'lastscrape': '2021-05-01 00:00:00.000000', 'enabled': False}]",,suncrypt,True,"['https://www.tetradefense.com/incident-response-services/cause-and-effect-suncrypt-ransomware-analysis', 'https://www.intezer.com/blog/malware-analysis/when-viruses-mutate-did-suncrypt-ransomware-evolve-from-qnapcrypt', 'https://medium.com/s2wblog/case-analysis-of-suncrypt-ransomware-negotiation-and-bitcoin-transaction-43a2194ac0bc']"
False,False,"[{'fqdn': 'rbvuetuneohce3ouxjlbxtimyyxokb4btncxjbo44fbgxqy7tskinwad.onion', 'title': None, 'version': 3, 'slug': 'http://rbvuetuneohce3ouxjlbxtimyyxokb4btncxjbo44fbgxqy7tskinwad.onion/api/posts/1', 'available': False, 'updated': '2022-12-10 18:10:34.549092', 'lastscrape': '2022-12-10 18:10:34.549077', 'enabled': False}, {'fqdn': '4qbxi3i2oqmyzxsjg4fwe4aly3xkped52gq5orp6efpkeskvchqe27id.onion', 'title': 'Start-maximized.com', 'version': 3, 'slug': 'http://4qbxi3i2oqmyzxsjg4fwe4aly3xkped52gq5orp6efpkeskvchqe27id.onion/', 'available': False, 'updated': '2021-12-02 13:09:34.120089', 'lastscrape': '2021-12-02 13:09:34.120074', 'enabled': False}]",,lv,True,"['https://www.secureworks.com/research/lv-ransomware', 'https://securityaffairs.co/wordpress/119306/malware/lv-ransomware-repurposed-revil-binary.html']"
False,False,"[{'fqdn': 'lorenzmlwpzgxq736jzseuterytjueszsvznuibanxomlpkyxk6ksoyd.onion', 'title': 'Lorenz', 'version': 3, 'slug': 'http://lorenzmlwpzgxq736jzseuterytjueszsvznuibanxomlpkyxk6ksoyd.onion/', 'available': False, 'updated': '2024-08-14 20:02:51.696858', 'lastscrape': '2024-08-14 20:02:51.696844', 'enabled': True}]",rfi location woe2suafeg6ehxivgvvn4nh6ectbdhdqgc4vzph27mmyn7rjf2c52jid.onion/index.php,lorenz,True,"['https://www.zdnet.com/article/lorenz-ransomware-attack-victims-can-now-retrieve-their-files-for-free-with-this-decryption-tool', 'https://www.cybertalk.org/the-worst-outcomes-lorenz-ransomware-a-new-double-extortion-strategy']"
False,True,"[{'fqdn': 'zqaflhty5hyziovsxgqvj2mrz5e5rs6oqxzb54zolccfnvtn5w2johad.onion', 'title': 'LOCKFILE', 'version': 3, 'slug': 'http://zqaflhty5hyziovsxgqvj2mrz5e5rs6oqxzb54zolccfnvtn5w2johad.onion', 'available': False, 'updated': '2021-11-21 19:05:47.855300', 'lastscrape': '2021-11-21 19:05:47.855283', 'enabled': False}, {'fqdn': 'yq43odyrmzqvyezdindg2tokgogf3pn6bcdtvgczpz5a74tdxjbtk2yd.onion', 'title': 'LockBit BLOG', 'version': 3, 'slug': 'http://yq43odyrmzqvyezdindg2tokgogf3pn6bcdtvgczpz5a74tdxjbtk2yd.onion', 'available': False, 'updated': '2022-06-17 16:10:31.959577', 'lastscrape': '2022-06-17 16:10:31.959558', 'enabled': False}, {'fqdn': 'oyarbnujct53bizjguvolxou3rmuda2vr72osyexngbdkhqebwrzsnad.onion', 'title': 'LockBit BLOG', 'version': 3, 'slug': 'http://oyarbnujct53bizjguvolxou3rmuda2vr72osyexngbdkhqebwrzsnad.onion', 'available': False, 'updated': '2022-06-17 16:10:49.901832', 'lastscrape': '2022-06-17 16:10:49.901813', 'enabled': False}, {'fqdn': 'lockbitaptstzf3er2lz6ku3xuifafq2yh5lmiqj5ncur6rtlmkteiqd.onion', 'title': 'LockBit BLOG', 'version': 3, 'slug': 'http://lockbitaptstzf3er2lz6ku3xuifafq2yh5lmiqj5ncur6rtlmkteiqd.onion', 'available': False, 'updated': '2022-06-17 16:11:05.604998', 'lastscrape': '2022-06-17 16:11:05.604979', 'enabled': False}, {'fqdn': 'lockbitaptq7ephv2oigdncfhtwhpqgwmqojnxqdyhprxxfpcllqdxad.onion', 'title': 'LockBit BLOG', 'version': 3, 'slug': 'http://lockbitaptq7ephv2oigdncfhtwhpqgwmqojnxqdyhprxxfpcllqdxad.onion', 'available': False, 'updated': '2022-06-17 16:11:23.690568', 'lastscrape': '2022-06-17 16:11:23.690546', 'enabled': False}]",previous clearnet fqdn lockbitapt.uz,lockbit2,True,"['https://threatpost.com/lockbit-ransomware-proliferates-globally/168746', 'https://www.trendmicro.com/en_us/research/21/h/lockbit-resurfaces-with-version-2-0-ransomware-detections-in-chi.html', 'https://www.cyber.gov.au/acsc/view-all-content/advisories/2021-006-acsc-ransomware-profile-lockbit-20']"
False,False,"[{'fqdn': 'hiveleakdbtnp76ulyhi52eag6c6tyc3xw7ez7iqy6wc34gd2nekazyd.onion', 'title': 'This domain has been seized', 'version': 3, 'slug': 'http://hiveleakdbtnp76ulyhi52eag6c6tyc3xw7ez7iqy6wc34gd2nekazyd.onion/', 'available': False, 'updated': '2023-05-26 14:05:14.664411', 'lastscrape': '2023-05-26 14:05:14.664396', 'enabled': False}, {'fqdn': 'hivecust6vhekztbqgdnkks64ucehqacge3dij3gyrrpdp57zoq3ooqd.onion', 'title': 'This domain has been seized', 'version': 3, 'slug': 'http://hivecust6vhekztbqgdnkks64ucehqacge3dij3gyrrpdp57zoq3ooqd.onion', 'available': False, 'updated': '2023-05-26 14:05:18.000822', 'lastscrape': '2023-05-26 14:05:18.000805', 'enabled': False}, {'fqdn': 'hiveapi4nyabjdfz2hxdsr7otrcv6zq6m4rk5i2w7j64lrtny4b7vjad.onion', 'title': 'This domain has been seized', 'version': 3, 'slug': 'http://hiveapi4nyabjdfz2hxdsr7otrcv6zq6m4rk5i2w7j64lrtny4b7vjad.onion/v1/companies/disclosed', 'available': False, 'updated': '2023-05-26 14:05:21.959096', 'lastscrape': '2023-05-26 14:05:21.959080', 'enabled': False}]",aka hive,hiveleak,True,"['https://inf.news/en/tech/c28d9382ab78a5ac3d8fc802f3f0f1e0.html', 'https://www.healthcareitnews.com/news/fbi-issues-alert-about-hive-ransomware', 'https://blogs.blackberry.com/en/2021/07/threat-thursday-hive-ransomware']"
False,False,"[{'fqdn': '3kp6j22pz3zkv76yutctosa6djpj4yib2icvdqxucdaxxedumhqicpad.onion', 'title': 'Arvin Club – آزادی برای اتصال', 'version': 3, 'slug': 'http://3kp6j22pz3zkv76yutctosa6djpj4yib2icvdqxucdaxxedumhqicpad.onion/', 'available': False, 'updated': '2022-08-01 20:10:19.375136', 'lastscrape': '2022-08-01 20:10:19.375118', 'enabled': False}, {'fqdn': 'arvinc7prj6ln5wpd6yydfqulsyepoc7aowngpznbn3lrap2aib6teid.onion', 'title': 'Arvin | Blog', 'version': 3, 'slug': 'http://arvinc7prj6ln5wpd6yydfqulsyepoc7aowngpznbn3lrap2aib6teid.onion/', 'available': False, 'updated': '2023-11-06 02:15:07.495884', 'lastscrape': '2023-11-06 02:15:07.495870', 'enabled': False}]",,arvinclub,True,"['http://t.me/arvin_club', 'https://sosintel.co.uk/a-special-investigation-exposing-a-ransomware-groups-clear-web-ip-and-their-duplicate-identities/', 'D6164C90642CD93D9D3F353511B4BDBD1428309C90CDE13D3D7088AA5BE3010A52E485834E84']"
True,False,"[{'fqdn': 'avosqxh72b5ia23dl5fgwcpndkctuzqvh2iefk5imp3pi5gfhel5klad.onion', 'title': 'AvosLocker Access Queue', 'version': 3, 'slug': 'http://avosqxh72b5ia23dl5fgwcpndkctuzqvh2iefk5imp3pi5gfhel5klad.onion/', 'available': False, 'updated': '2023-07-08 00:15:36.808844', 'lastscrape': '2023-07-08 00:15:36.808827', 'enabled': False}, {'fqdn': 'avosjon4pfh3y7ew3jdwz6ofw7lljcxlbk7hcxxmnxlh5kvf2akcqjad.onion', 'title': 'AvosLocker', 'version': 3, 'slug': 'http://avosjon4pfh3y7ew3jdwz6ofw7lljcxlbk7hcxxmnxlh5kvf2akcqjad.onion', 'available': False, 'updated': '2023-08-16 14:04:08.303751', 'lastscrape': '2023-08-16 14:04:08.303729', 'enabled': False}]",captcha prevents indexing,avoslocker,False,"['https://blog.cyble.com/2021/07/23/deep-dive-analysis-avoslocker-ransomware', 'https://blog.malwarebytes.com/threat-intelligence/2021/07/avoslocker-enters-the-ransomware-scene-asks-for-partners', 'previous parser: c2VkIC1uIC1lICdzL14uKmFyaWEtaGlkZGVuPSJ0cnVlIj48XC9pPiAvL3AnIHNvdXJjZS9hdm9zbG9ja2VyLSouaHRtbCB8IGN1dCAtZCAiPCIgLWYx', 'previous parser: ZWdyZXAgLW8gJ3RpdGxlPSIoW1s6YWxudW06XV18IHxcLikrIicgc291cmNlL2F2b3Nsb2NrZXItKi5odG1sIHwgY3V0IC1kICciJyAtZjI=']"
True,True,"[{'fqdn': 'griefcameifmv4hfr3auozmovz5yi6m3h3dwbuqw7baomfxoxz4qteid.onion', 'title': 'Grief list', 'version': 3, 'slug': 'http://griefcameifmv4hfr3auozmovz5yi6m3h3dwbuqw7baomfxoxz4qteid.onion/', 'available': False, 'updated': '2022-05-02 11:11:21.970097', 'lastscrape': '2022-05-02 11:11:21.970076', 'enabled': False}]",captcha prevents indexing,grief,False,"['https://heimdalsecurity.com/blog/doppelpaymer-gets-a-rebranding', 'https://www.bleepingcomputer.com/news/security/nra-no-comment-on-russian-ransomware-gang-attack-claims/']"
