common_name,aliases,country,actor_url,description,associated_families
Lazarus Group,"aka: Operation DarkSeoul, Dark Seoul, Hidden Cobra, Hastati Group, Andariel, Unit 121, Bureau 121, NewRomanic Cyber Army Team, Bluenoroff, Subgroup: Bluenoroff, Group 77, Labyrinth Chollima, Operation Troy, Operation GhostSecret, Operation AppleJeus, APT38, APT 38, Stardust Chollima, Whois Hacking Team, Zinc, Appleworm, Nickel Academy, APT-C-26, NICKEL GLADSTONE, COVELLITE, ATK3, G0032, ATK117, G0082, Citrine Sleet, DEV-0139, DEV-1222, Diamond Sleet, ZINC, Sapphire Sleet, COPERNICIUM, TA404, Lazarus group, BeagleBoyz, Moonstone Sleet, Lazarus, Genie Spider",kp,https://malpedia.caad.fkie.fraunhofer.de/actor/lazarus_group,"Since 2009, HIDDEN COBRA actors have leveraged their capabilities to target and compromise a range of victims; some intrusions have resulted in the exfiltration of data while others have been disruptive in nature. Commercial reporting has referred to this activity as Lazarus Group and Guardians of Peace. Tools and capabilities used by HIDDEN COBRA actors include DDoS botnets, keyloggers, remote access tools (RATs), and wiper malware. Variants of malware and tools used by HIDDEN COBRA actors include Destover, Duuzer, and Hangman.","win.unidentified_101, win.unidentified_090, apk.badcall, apk.hardrain, elf.badcall, elf.spectral_blur, js.quickcafe, osx.3cx_backdoor, osx.casso, osx.dacls, osx.interception, osx.spectral_blur, osx.unidentified_001, osx.watchcat, osx.yort, php.redhat_hacker, ps1.powerbrace, ps1.powerspritz, win.blindtoad, win.buffetline, win.cleantoad, win.klackring, win.power_ratankba, win.rustbucket, win.srdi, win.alphanc, win.alreay, win.artfulpie, win.banpolmex, win.bistromath, win.bitsran, win.bluenoroff, win.bookcodesrat, win.bootwreck, win.brambul, win.bravonc, win.cheesetray, win.contopee, win.coredn, win.crat, win.cur1_downloader, win.deltas, win.duuzer, win.dyepack, win.electricfish, win.feed_load, win.fudmodule, win.fuwuqidrama, win.ghost_secret, win.gopuram, win.hardrain, win.hoplight, win.hotcroissant, win.hotwax, win.httpsuploader, win.iconic_stealer, win.interception, win.jessiecontea, win.joanap, win.lazardoor, win.lazarloader, win.lazarus_killdisk, win.lcpdot, win.lpeclient, win.magic_rat, win.minitypeframe, win.nachocheese, win.neddnloader, win.nestegg, win.op_blockbuster, win.phandoor, win.pslogger, win.racket, win.ratankba, win.ratankbapos, win.redshawl, win.rifdoor, win.roll_sling, win.romeos, win.scout, win.slickshoes, win.touchmove, win.typeframe, win.unidentified_042, win.unidentified_077, win.veiledsignal, win.vsingle, win.vyveva, win.winordll64, win.wormhole, win.dacls, win.darkcomet, osx.applejeus, win.applejeus, win.badcall, win.bankshot, win.dtrack, win.keymarble, win.sierras, win.torisma, aix.fastcash, osx.rustbucket, osx.hloader, osx.kandykorn, osx.sugarloader, win.comebacker, osx.simpletea, win.wannacryptor, win.hermes, win.tsunami, osx.manuscrypt, win.volgmer, win.ghost_rat, win.anchormtea, elf.simpletea, osx.poolrat, win.3cx_backdoor, win.blindingcan, win.cloudburst, win.dratzarus, win.forest_tiger, win.imprudentcook, win.lambload, win.lightlesscan, win.miniblindingcan, win.postnaptea, win.secondhandtea, win.snatchcrypto, win.wagenttea, win.webbytea, win.wininetloader"
APT28,"aka: Pawn Storm, FANCY BEAR, Sednit, SNAKEMACKEREL, Tsar Team, TG-4127, STRONTIUM, Swallowtail, IRON TWILIGHT, Group 74, SIG40, Grizzly Steppe, G0007, ATK5, Fighting Ursa, ITG05, Blue Athena, TA422, T-APT-12, APT-C-20, UAC-0028, FROZENLAKE, Sofacy, Forest Blizzard, BlueDelta, Fancy Bear, GruesomeLarch, APT 28, TsarTeam, Group-4127, Grey-Cloud",ru,https://malpedia.caad.fkie.fraunhofer.de/actor/apt28,"The Sofacy Group (also known as APT28, Pawn Storm, Fancy Bear and Sednit) is a cyber espionage group believed to have ties to the Russian government. Likely operating since 2007, the group is known to target government, military, and security organizations. It has been characterized as an advanced persistent threat.","apk.popr-d30, ios.xagent, osx.komplex, osx.xagent, win.arguepatch, win.cannon, win.driveocean, win.unidentified_114, win.xp_privesc, win.xtunnel_net, elf.xagent, win.zebrocy_au3, win.caddywiper, win.computrace, win.coreshell, win.downdelph, win.fusiondrive, win.gooseegg, win.graphite, win.koadic, win.oldbait, win.pocodown, win.sedreco, win.seduploader, win.unidentified_078, win.xagent, win.xtunnel, win.zebrocy, win.lojax, win.credomap, win.mocky_lnk, win.oceanmap, js.spypress, ps1.steelhook, py.masepie, win.slimagent, win.beardshell, py.lamehug, win.gonepostal"
Turla,"aka: Snake, VENOMOUS Bear, Group 88, Waterbug, WRAITH, Uroburos, Pfinet, TAG_0530, KRYPTON, Hippo Team, Pacifier APT, Popeye, SIG23, IRON HUNTER, MAKERSMARK, ATK13, G0010, ITG12, Blue Python, SUMMIT, UNC4210, Secret Blizzard, UAC-0144, UAC-0024, UAC-0003",ru,https://malpedia.caad.fkie.fraunhofer.de/actor/turla,"A 2014 Guardian article described Turla as: 'Dubbed the Turla hackers, initial intelligence had indicated western powers were key targets, but it was later determined embassies for Eastern Bloc nations were of more interest. Embassies in Belgium, Ukraine, China, Jordan, Greece, Kazakhstan, Armenia, Poland, and Germany were all attacked, though researchers from Kaspersky Lab and Symantec could not confirm which countries were the true targets. In one case from May 2012, the office of the prime minister of a former Soviet Union member country was infected, leading to 60 further computers being affected, Symantec researchers said. There were some other victims, including the ministry for health of a Western European country, the ministry for education of a Central American country, a state electricity provider in the Middle East and a medical organisation in the US, according to Symantec. It is believed the group was also responsible for a much - documented 2008 attack on the US Central Command. The attackers - who continue to operate - have ostensibly sought to carry out surveillance on targets and pilfer data, though their use of encryption across their networks has made it difficult to ascertain exactly what the hackers took.Kaspersky Lab, however, picked up a number of the attackers searches through their victims emails, which included terms such as Nato and EU energy dialogue Though attribution is difficult to substantiate, Russia has previously been suspected of carrying out the attacks and Symantecs Gavin O’ Gorman told the Guardian a number of the hackers appeared to be using Russian names and language in their notes for their malicious code. Cyrillic was also seen in use.'","apk.cyber_azov, asp.unidentified_001, elf.penquin_turla, js.kopiluwak, js.minijs, js.turla_ff_ext, js.turla_maintools, osx.uroburos, win.delivery_check, win.lunarmail, win.netflash, win.neuron, win.quietcanary, win.pelmeni, win.cobra, win.comlook, win.crutch, win.gazer, win.ksl0t, win.mosquito, win.nautilus, win.newpass, win.outlook_backdoor, win.powershellrunner, win.satellite_turla, win.skipper, win.tinyturla_ng, win.turla_rpc, win.turla_silentmoon, win.uroburos, win.agent_btz, win.minipocket, win.tiny_turla, win.kazuar, win.wipbot, win.twodash, win.lightneuron, asp.twoface, win.apollo_shadow"
Cleaver,"aka: Operation Cleaver, Op Cleaver, Tarh Andishan, Alibaba, TG-2889, Cobalt Gypsy, G0003, Hazel Sandstorm, EUROPIUM, APT34, OilRig",ir,https://malpedia.caad.fkie.fraunhofer.de/actor/cleaver,"A group of cyber actors utilizing infrastructure located in Iran have been conducting computer network exploitation activity against public and private U.S. organizations, including Cleared Defense Contractors (CDCs), academic institutions, and energy sector companies. This threat actor targets entities in the government, energy, and technology sectors that are located in or do business with Saudi Arabia.","ps1.oilrig, ps1.powruner, ps1.quadagent, win.csext, win.google_drive_rat, win.jason, win.karkoff, win.mango, win.netc, win.neuron, win.oopsie, win.redcap, win.saitama, win.sidetwist, win.solar, win.tinyzbot, win.valuevault, win.zhmimikatz, win.pupy, ps1.bondupdater, win.alma_communicator, win.helminth, win.ismagent, win.jasus, win.kagent, win.longwatch, win.nautilus, win.pickpocket, win.pvzout, win.stealhook, win.synflooder, win.tonedeaf, win.wndtest, win.zerocleare, win.rdat, win.hawking, apk.spynote, asp.twoface"
APT1,"aka: COMMENT PANDA, PLA Unit 61398, Comment Crew, Byzantine Candor, Group 3, TG-8223, Comment Group, Brown Fox, GIF89a, ShadyRAT, G0006",cn,https://malpedia.caad.fkie.fraunhofer.de/actor/apt1,"PLA Unit 61398 (Chinese: 61398部队, Pinyin: 61398 bùduì) is the Military Unit Cover Designator (MUCD)[1] of a People's Liberation Army advanced persistent threat unit that has been alleged to be a source of Chinese computer hacking attacks","win.auriga, win.bangat, win.biscuit, win.bouncer, win.combos, win.cookiebag, win.dairy, win.getmail, win.glooxmail, win.goggles, win.hacksfase, win.helauto, win.kurton, win.manitsme, win.mapiget, win.miniasp, win.newsreels, win.seasalt, win.starsypound, win.sword, win.tabmsgsql, win.tarsip, win.webc2_adspace, win.webc2_ausov, win.webc2_bolid, win.webc2_cson, win.webc2_div, win.webc2_greencat, win.webc2_head, win.webc2_kt3, win.webc2_qbp, win.webc2_rave, win.webc2_table, win.webc2_ugx, win.webc2_yahoo"
UNC2452,"aka: DarkHalo, StellarParticle, NOBELIUM, Solar Phoenix, Midnight Blizzard, APT29, Cozy Bear",ru,https://malpedia.caad.fkie.fraunhofer.de/actor/unc2452,"Reporting regarding activity related to the SolarWinds supply chain injection has grown quickly since initial disclosure on 13 December 2020. A significant amount of press reporting has focused on the identification of the actor(s) involved, victim organizations, possible campaign timeline, and potential impact. The US Government and cyber community have also provided detailed information on how the campaign was likely conducted and some of the malware used.  MITRE’s ATT&CK team — with the assistance of contributors — has been mapping techniques used by the actor group, referred to as UNC2452/Dark Halo by FireEye and Volexity respectively, as well as SUNBURST and TEARDROP malware.","win.boombox, win.cozyduke, win.gdrive, win.goldmax, win.miniduke, win.raindrop, win.seadaddy, win.sunburst, win.tdiscoverer, win.teardrop, win.srdi, ios.validvictor, apk.unidentified_009, apk.androsnatch, ios.cookiesnatch, win.beatdrop, win.cloud_duke, win.fatduke, win.graphdrop, win.graphical_neutrino, win.halfrig, win.liteduke, win.newpass, win.onionduke, win.pinchduke, win.polyglotduke, win.quarterrig, win.unidentified_098, win.unidentified_099, win.vapor_rage, win.ceeloader, win.grapeloader, win.wineloader, win.cosmicduke, win.cobalt_strike"
APT41,"aka: G0096, TA415, Blackfly, Grayfly, LEAD, BARIUM, WICKED SPIDER, WICKED PANDA, BRONZE ATLAS, BRONZE EXPORT, Red Kelpie, G0044, Earth Baku, Amoeba, HOODOO, Brass Typhoon, Winnti, Double Dragon, TG-2633, Leopard Typhoon",cn,https://malpedia.caad.fkie.fraunhofer.de/actor/apt41,APT41 is a prolific cyber threat group that carries out Chinese state-sponsored espionage activity in addition to financially motivated activity potentially outside of state control.,"apk.dragonegg, apk.wyrmspy, elf.messagetap, win.biopass, win.crackshot, win.dboxagent, win.easynight, win.highnoon, win.highnoon_bin, win.jumpall, win.serialvlogger, win.pinegrove, win.acehash, win.crosswalk, win.dusttrap, win.gearshift, win.lowkey, win.moonbounce, win.moonwalk, win.skip20, elf.keyplug, win.poisonplug, win.chinachopper, win.blackcoffee, win.derusbi, win.zxshell, win.toughprogress, win.shadowpad, win.coldlock, php.aspxspy, win.sharpyshell, win.plugx, win.cobalt_strike"
APT29,"aka: Group 100, COZY BEAR, The Dukes, Minidionis, SeaDuke, YTTRIUM, IRON HEMLOCK, Grizzly Steppe, G0016, ATK7, Cloaked Ursa, TA421, Blue Kitsune, ITG11, BlueBravo, Nobelium, UAC-0029, Midnight Blizzard",ru,https://malpedia.caad.fkie.fraunhofer.de/actor/apt29,"A 2015 report by F-Secure describe APT29 as: 'The Dukes are a well-resourced, highly dedicated and organized cyberespionage group that we believe has been working for the Russian Federation since at least 2008 to collect intelligence in support of foreign and security policy decision-making. The Dukes show unusual confidence in their ability to continue successfully compromising their targets, as well as in their ability to operate with impunity. The Dukes primarily target Western governments and related organizations, such as government ministries and agencies, political think tanks, and governmental subcontractors. Their targets have also included the governments of members of the Commonwealth of Independent States;Asian, African, and Middle Eastern governments;organizations associated with Chechen extremism;and Russian speakers engaged in the illicit trade of controlled substances and drugs. The Dukes are known to employ a vast arsenal of malware toolsets, which we identify as MiniDuke, CosmicDuke, OnionDuke, CozyDuke, CloudDuke, SeaDuke, HammerDuke, PinchDuke, and GeminiDuke. In recent years, the Dukes have engaged in apparently biannual large - scale spear - phishing campaigns against hundreds or even thousands of recipients associated with governmental institutions and affiliated organizations. These campaigns utilize a smash - and - grab approach involving a fast but noisy breakin followed by the rapid collection and exfiltration of as much data as possible.If the compromised target is discovered to be of value, the Dukes will quickly switch the toolset used and move to using stealthier tactics focused on persistent compromise and long - term intelligence gathering. This threat actor targets government ministries and agencies in the West, Central Asia, East Africa, and the Middle East; Chechen extremist groups; Russian organized crime; and think tanks. It is suspected to be behind the 2015 compromise of unclassified networks at the White House, Department of State, Pentagon, and the Joint Chiefs of Staff. The threat actor includes all of the Dukes tool sets, including MiniDuke, CosmicDuke, OnionDuke, CozyDuke, SeaDuke, CloudDuke (aka MiniDionis), and HammerDuke (aka Hammertoss). '","win.boombox, win.cozyduke, win.gdrive, win.miniduke, win.seadaddy, win.tdiscoverer, win.srdi, ios.validvictor, apk.unidentified_009, apk.androsnatch, ios.cookiesnatch, win.beatdrop, win.cloud_duke, win.fatduke, win.graphdrop, win.graphical_neutrino, win.halfrig, win.liteduke, win.newpass, win.onionduke, win.pinchduke, win.polyglotduke, win.quarterrig, win.unidentified_098, win.unidentified_099, win.vapor_rage, win.grapeloader, win.wineloader, win.cosmicduke, win.cobalt_strike"
CHRYSENE,"aka: OilRig, Greenbug, Hazel Sandstorm, EUROPIUM, Cobalt Gypsy, APT34",,https://malpedia.caad.fkie.fraunhofer.de/actor/chrysene,"Adversaries abusing ICS (based on Dragos Inc adversary list).This threat actor targets organizations involved in oil, gas, and electricity production, primarily in the Gulf region, for espionage purposes. According to one cybersecurity company, the threat actor “compromises a target machine and passes it off to another threat actor for further exploitation.”","ps1.oilrig, ps1.powruner, ps1.quadagent, win.google_drive_rat, win.jason, win.karkoff, win.mango, win.neuron, win.oopsie, win.redcap, win.saitama, win.sidetwist, win.solar, win.valuevault, win.pupy, ps1.bondupdater, win.alma_communicator, win.helminth, win.ismagent, win.ismdoor, win.longwatch, win.nautilus, win.pickpocket, win.stealhook, win.tonedeaf, win.zerocleare, win.rdat, win.hawking, apk.spynote, asp.twoface"
OilRig,"aka: Twisted Kitten, Cobalt Gypsy, Crambus, Helix Kitten, APT 34, APT34, IRN2, ATK40, G0049, Evasive Serpens, Hazel Sandstorm, EUROPIUM, TA452, Earth Simnavaz",ir,https://malpedia.caad.fkie.fraunhofer.de/actor/oilrig,"OilRig is an Iranian threat group operating primarily in the Middle East by targeting organizations in this region that are in a variety of different industries; however, this group has occasionally targeted organizations outside of the Middle East as well. It also appears OilRig carries out supply chain attacks, where the threat group leverages the trust relationship between organizations to attack their primary targets. OilRig is an active and organized threat group, which is evident based on their systematic targeting of specific organizations that appear to be carefully chosen for strategic purposes. Attacks attributed to this group primarily rely on social engineering to exploit the human rather than software vulnerabilities; however, on occasion this group has used recently patched vulnerabilities in the delivery phase of their attacks. The lack of software vulnerability exploitation does not necessarily suggest a lack of sophistication, as OilRig has shown maturity in other aspects of their operations. Such maturities involve:-Organized evasion testing used the during development of their tools.-Use of custom DNS Tunneling protocols for command and control (C2) and data exfiltration.-Custom web-shells and backdoors used to persistently access servers.OilRig relies on stolen account credentials for lateral movement. After OilRig gains access to a system, they use credential dumping tools, such as Mimikatz, to steal credentials to accounts logged into the compromised system. The group uses these credentials to access and to move laterally to other systems on the network. After obtaining credentials from a system, operators in this group prefer to use tools other than their backdoors to access the compromised systems, such as remote desktop and putty. OilRig also uses phishing sites to harvest credentials to individuals at targeted organizations to gain access to internet accessible resources, such as Outlook Web Access.Since at least 2014, an Iranian threat group tracked by FireEye as APT34 has conducted reconnaissance aligned with the strategic interests of Iran. The group conducts operations primarily in the Middle East, targeting financial, government, energy, chemical, telecommunications and other industries. Repeated targeting of Middle Eastern financial, energy and government organizations leads FireEye to assess that those sectors are a primary concern of APT34. The use of infrastructure tied to Iranian operations, timing and alignment with the national interests of Iran also lead FireEye to assess that APT34 acts on behalf of the Iranian government.","ps1.oilrig, ps1.powruner, ps1.quadagent, win.google_drive_rat, win.jason, win.karkoff, win.mango, win.neuron, win.oopsie, win.redcap, win.saitama, win.sidetwist, win.solar, win.valuevault, win.pupy, ps1.bondupdater, win.alma_communicator, win.helminth, win.ismagent, win.longwatch, win.nautilus, win.pickpocket, win.stealhook, win.tonedeaf, win.zerocleare, win.rdat, win.hawking, apk.spynote, asp.twoface"
APT40,"aka: TEMP.Periscope, TEMP.Jumper, Leviathan, BRONZE MOHAWK, GADOLINIUM, KRYPTONITE PANDA, G0065, ATK29, TA423, Red Ladon, ITG09, MUDCARP, ISLANDDREAMS, Gingham Typhoon",cn,https://malpedia.caad.fkie.fraunhofer.de/actor/apt40,"Leviathan is an espionage actor targeting organizations and high-value targets in defense and government. Active since at least 2014, this actor has long-standing interest in maritime industries, naval defense contractors, and associated research institutions in the United States and Western Europe.","js.airbreak, js.cactustorch, js.nanhaishu, win.lazycat, win.badflick, win.dadjoke, win.dadstache, win.grillmark, win.homefry, win.lunchmoney, win.murkytop, win.sedll, js.scanbox, win.chinachopper, win.blackcoffee, win.derusbi, win.zxshell, win.plugx, win.ghost_rat, win.cobalt_strike"
Sandworm,"aka: Quedagh, VOODOO BEAR, TEMP.Noble, IRON VIKING, G0034, ELECTRUM, TeleBots, IRIDIUM, Blue Echidna, FROZENBARENTS, UAC-0113, Seashell Blizzard, UAC-0082, APT44",ru,https://malpedia.caad.fkie.fraunhofer.de/actor/sandworm,"This threat actor targets industrial control systems, using a tool called Black Energy, associated with electricity and power generation for espionage, denial of service, and data destruction purposes. Some believe that the threat actor is linked to the 2015 compromise of the Ukrainian electrical grid and a distributed denial of service prior to the Russian invasion of Georgia. Believed to be responsible for the 2008 DDoS attacks in Georgia and the 2015 Ukraine power grid outage","elf.exaramel, win.arguepatch, win.roar_bat, win.swiftslicer, win.teledoor, win.blackenergy, win.caddywiper, win.credraptor, win.eternal_petya, win.exaramel, win.grey_energy, win.kapeka, win.telebot, win.killdisk, asp.localolive, ps1.kalambur, win.backorder, win.industroyer, win.industroyer2, win.rhadamanthys"
Silent Chollima,"aka: OperationTroy, Guardian of Peace, GOP, WHOis Team, Andariel, Subgroup: Andariel, Onyx Sleet, PLUTONIUM",kp,https://malpedia.caad.fkie.fraunhofer.de/actor/silent_chollima,"Andariel is a threat actor that primarily targets South Korean corporations and institutions. They are believed to collaborate with or operate as a subsidiary organization of the Lazarus threat group. WHOIS utilizes spear phishing attacks, watering hole attacks, and supply chain attacks for initial access. They have been known to exploit vulnerabilities and use malware such as Infostealer and TigerRAT.","win.yamabot, win.andardoor, win.atharvan, win.bistromath, win.collection_rat, win.jupiter, win.magic_rat, win.maui, win.ninerat, win.phandoor, win.quiterat, win.rifdoor, win.sharpknot, win.shatteredglass, win.tiger_rat, win.tigerlite, win.unidentified_105, win.vsingle, win.dtrack, win.lilith"
APT32,"aka: OceanLotus Group, Ocean Lotus, OceanLotus, Cobalt Kitty, APT-C-00, SeaLotus, Sea Lotus, APT-32, APT 32, Ocean Buffalo, POND LOACH, TIN WOODLAWN, BISMUTH, ATK17, G0050, Canvas Cyclone",vn,https://malpedia.caad.fkie.fraunhofer.de/actor/apt32,"Cyber espionage actors, now designated by FireEye as APT32 (OceanLotus Group), are carrying out intrusions into private sector companies across multiple industries and have also targeted foreign governments, dissidents, and journalists. FireEye assesses that APT32 leverages a unique suite of fully-featured malware, in conjunction with commercially-available tools, to conduct targeted operations that are aligned with Vietnamese state interests.","apk.phantomlance, elf.caja, elf.rotajakiro, js.cactustorch, js.unidentified_001, win.metaljack, win.ratsnif, win.strikesuit_gift, win.cuegoe, win.kerrdown, win.komprogo, win.phoreal, win.salgorea, win.soundbite, win.unidentified_068, osx.oceanlotus, win.mimikatz, win.cobalt_strike"
APT37,"aka: APT 37, Group 123, Group123, InkySquid, Operation Daybreak, Operation Erebus, Reaper Group, Reaper, Red Eyes, Ricochet Chollima, ScarCruft, Venus 121, ATK4, G0067, Moldy Pisces, APT-C-28",kp,https://malpedia.caad.fkie.fraunhofer.de/actor/apt37,"APT37 has likely been active since at least 2012 and focuses on targeting the public and private sectors primarily in South Korea. In 2017, APT37 expanded its targeting beyond the Korean peninsula to include Japan, Vietnam and the Middle East, and to a wider range of industry verticals, including chemicals, electronics, manufacturing, aerospace, automotive and healthcare entities","apk.chinotto, apk.kevdroid, win.poorweb, win.unidentified_067, win.bluelight, win.chinotto, win.final1stspy, win.freenki, win.goldbackdoor, win.open_carrot, win.poohmilk, win.starcruft, apk.kospy, win.nokki, win.rokrat, win.konni, win.rustonotto"
